f_property_type,f_neighbourhood_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_baking_sheet,d_bathtub,d_bed_linens,d_bidet,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_coffee_machine,d_have_gril,d_free_parking_on_premises,d_free_parking_on_street,d_paid_parking_on_premises,d_paid_parking_off_premises,d_wifi,d_have_cable,d_have_tv,d_have_sound_system,d_shampoo_toiletries,d_have_washerdryer,d_have_iron,d_have_heating,d_have_air_condfan,d_balcony,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_family_friendly,d_have_fireplace,d_have_clothing_storage,d_f_property_type,d_host_is_superhost,d_host_identity_verified,price,id,property_type,flag_f_neighbourhood_cleansed,flag_days_sincelast,flag_review_scores_rating,flag_reviews_per_month,f_bathrooms,ln_bed,f_beds,f_bedrooms,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
loft,GUASTALLA,2,1,0,1,4,12,0.43,10,90,15,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,loft,0,1,85,34828414,loft,0,0,0,0,1,0,1,1,3,2,3
condo,ISOLA,2,1,1,2,4.63,83,2.69,2,88,17,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,condo,0,1,65,34835664,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,DUOMO,2,1,1,1,4.58,25,0.81,7,192,81,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,loft,0,1,80,34890586,loft,0,0,0,0,1,0,1,2,3,2,3
condo,GARIBALDI REPUBBLICA,6,1,2,2,4.82,0,0.71,15,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,condo,0,1,200,34976266,condo,0,1,1,1,1,0.6931471805599453,2,2,3,1,3
loft,ISOLA,4,1,1,1,4.82,0,0.71,13,37,59,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,loft,0,0,97,35055032,loft,0,1,1,1,1,0,1,2,3,1,3
condo,RIPAMONTI,4,1,1,2,4.93,14,0.46,5,0,57,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,condo,1,0,75,35078447,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,2
apartment,DUOMO,2,1,1,1,5,2,0.07,1,154,438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,apartment,0,1,210,35183232,apartment,0,0,0,0,1,0,1,2,3,2,1
apartment,DUOMO,2,1,1,1,4.82,0,0.71,1,157,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,apartment,0,1,231,35211353,apartment,0,1,1,1,1,0,1,2,3,1,1
apartment,DUOMO,3,1,1,1,4.82,0,0.71,1,163,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,apartment,0,1,273,35212705,apartment,0,1,1,1,1,0,1,2,3,1,1
condo,GIAMBELLINO,2,1,1,1,4.8,20,0.67,3,0,45,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,condo,1,1,75,35215618,condo,0,0,0,0,1,0,1,2,3,2,1
condo,GHISOLFA,2,1,1,1,4.82,0,0.71,7,365,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,120,35217272,condo,0,1,1,1,1,0,1,2,3,1,3
loft,GIAMBELLINO,5,1,2,3,5,2,0.08,1,0,786,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,loft,0,1,100,35316602,loft,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
